bill,total,for,against
HB703,9520,9384,136
HB702,8155,8078,77
HB251,4140,493,3647
HB337,4123,3478,645
HB112,3770,1296,2474
HB258,3404,3149,255
HB415,2954,2791,163
HB279,2763,254,2509
HB102,2477,924,1553
SB215,2358,1006,1352
SB379,2168,114,2054
HB176,2138,332,1806
HB113,2026,380,1646
HB329,1899,110,1789
SB89,1895,181,1714
HB2,1829,1045,784
HB367,1786,342,1444
HB588,1765,104,1661
HB359,1636,264,1372
SB199,1570,1515,55
SB332,1213,1195,18
HB257,1201,1109,92
SB354,1102,96,1006
HB695,1059,54,1005
HB224,1053,201,852
HB121,1018,708,310
HB168,965,121,844
HB427,954,185,769
HB505,881,54,827
HB334,849,789,60
HB448,807,41,766
HB633,752,377,375
HB13,741,690,51
SB100,704,106,598
HB136,703,254,449
HB273,689,29,660
HB225,685,309,376
HB481,647,34,613
SB159,635,51,584
HB468,629,360,269
HB542,622,43,579
HB162,587,578,9
HB318,587,53,534
HB223,568,55,513
HB171,565,228,337
SB267,543,56,487
HB436,533,424,109
HB167,523,276,247
SB65,519,37,482
SB368,516,488,28
SB143,512,160,352
SB280,507,44,463
SB169,502,193,309
HB320,492,63,429
SB182,481,26,455
HB140,473,185,288
SB314,470,35,435
SB99,461,85,376
SB306,461,27,434
HB637,446,41,405
HB324,430,423,7
HB200,428,114,314
SJ2,418,71,347
SB140,406,55,351
HB137,401,128,273
HB302,400,26,374
HB417,399,16,383
HB599,387,9,378
HB89,383,176,207
HB406,362,65,297
HB677,346,171,175
HB701,341,34,307
SB115,335,22,313
HB276,334,37,297
HB222,324,322,2
HB99,317,294,23
HB325,295,136,159
HB504,294,270,24
HB332,293,268,25
HB138,288,53,235
SB257,286,52,234
HB498,283,17,266
SB290,277,156,121
SB398,276,127,149
HB689,274,1,273
HB613,271,252,19
HB244,267,16,251
SB400,265,211,54
SB108,265,181,84
SB172,262,196,66
SB260,260,5,255
HB241,256,76,180
SB275,252,28,224
HB570,250,246,4
HB354,246,14,232
SB277,246,235,11
SB328,245,13,232
HB259,244,30,214
HB527,242,131,111
HB122,238,211,27
HB35,236,232,4
SB358,233,18,215
HB129,228,16,212
HB143,228,179,49
HB632,227,136,91
HB501,227,222,5
HB461,223,24,199
SB111,222,53,169
HB686,221,6,215
HB379,218,26,192
SB355,214,139,75
HB215,209,101,108
HB697,208,23,185
HB229,205,16,189
SB228,203,29,174
HB46,201,198,3
HB281,199,18,181
HB144,191,142,49
SB164,189,5,184
HB344,187,94,93
SB147,186,177,9
SB160,184,4,180
SB211,182,7,175
SB387,182,9,173
HB209,181,26,155
HB233,180,166,14
HB230,179,152,27
SB282,177,140,37
SB315,175,77,98
